Designator,Footprint,Quantity,Value,LCSC Part #
BT1,QFN50P400X400X100-21M-D,1,MCP73871T-2CCI/ML,C511310
"C1, C2, C3",0603,3,10u,C96446
"C10, C11, C19, C6, C7, C8, C9",0402,7,100n,C1525
"C12, C13",0402,2,12p,C1547
C14,0402,1,1u,C52923
C15,0402,1,10n,C15195
"C16, C17",0603,2,2u2,C23630
"C18, C5",0603,2,4u7,C19666
C4,0402,1,1.3nF,C1523
D1,0805,1,Emerald,C2297
"D2, D3, D4",0603,3,RED,C2286
FB1,0805,1,600Ω@100MHz,C1017
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
J3,JST_B2B-PH-K-S_LF__SN_,1,B2B-PH-K-S_LF__SN_,
J4,1760510000,1,Load,
L1,1008,1,1.5uH,C98034
"R1, R3",0402,2,5.1k 1%,C25905
"R10, R11, R14, R15, R17, R23, R8",0402,7,10k,C25744
R12,1206,1,100m,C2903496
R13,0402,1,47k,C25792
"R16, R19, R20, R21, R9",0402,5,1k,C11702
"R18, R22",0402,2,3.3k,C25890
R2,0402,1,100k,C25741
R24,0402,1,20k,C25765
R28,0402,1,510,C25123
R29,0402,1,330,C25104
"R4, R5, R6, R7",0402,4,22,C25092
TP1,TestPoint_Pad_D1.0mm,1,VBAT,
TP2,TestPoint_Pad_D1.0mm,1,VBAT_CN,
TP3,TestPoint_Pad_D1.0mm,1,HR_PG,
TP4,TestPoint_Pad_D1.0mm,1,BC_PG,
U1,SOT-23-6,1,USBLC6-2SC6,C7519
U2,QFN50P250X250X100-12N,1,TPS63051RMWR,C139412
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,C15742
U4,SOT-23-8,1,INA219AIDCNR,C87469
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
